score,budget
3.2,1368333.333
2.6,2050000
9.2,6000000
3.1,6461250
3.9,10948076.92
3.4,12162222.22
1.6,13000000
2.1,13200000
2.8,13562500
4,14168000
3.5,14333333.33
2.9,14750000
3.3,15045125
1.9,15333333.33
2,15500000
2.3,16666666.67
9.1,17000000
2.5,18000000
3,18223470
4.5,19537777.78
4.6,20627777.78
4.1,21369250
3.6,21750000
8.7,22697777.78
5,23374342.11
5.3,23630795.45
4.7,24406000
9.3,25000000
8.9,25110000
2.7,25383333.33
4.8,26532583.33
8.6,27927500
7.4,28303310.26
4.4,28510000
5.2,29282428.57
5.1,29627238.81
4.3,29844666.67
5.7,29996285.71
7.6,31115751.1
8,31747784.93
6.8,32040064.04
8.2,32572428.57
8.3,32702097.67
6.5,33298410.29
7.5,33386477.65
6.2,33613137.34
4.9,33659565.22
5.4,34229555.56
5.9,35069259.26
3.8,35323076.92
4.2,35488235.29
5.6,35695761.9
7.3,35791607.25
6.3,36420864.15
7.9,37009687.5
7.2,37758236.89
6.1,38502155.69
6.6,39881406.75
6.7,40071776.39
7.8,40432341.69
5.5,40548369.57
2.2,42500000
6.4,43253751.52
5.8,44100603.45
8.5,44285092.71
6.9,45415347.39
7.1,47240186.22
3.7,47756250
2.4,49000000
8.1,54734193.55
6,58781822.03
1.7,65000000
7.7,65395819.84
8.8,77800000
9,99000000
