gross,budget
34946455.91,17000000
22782553.63,6500000
80616225.67,105000000
118099659,144000000
102227115.6,90000000
46534266.5,31500000
76721680.71,54000000
NULL,4300000
53846915,50100000
2956000,3700000
NULL,20000
140015224,133000000
5454630.222,1000000
NULL,4638783
30689387.14,24000000
1109628.727,200000
106493728,103000000
35793476.91,31000000
3151130,230000
262030663,230000000
NULL,45000
3367016,5600000
33201661,77000000
26842055.15,13000000
228430993,108000000
NULL,1288000
4806046.727,500000
26027257.28,12000000
26834262.75,9500000
3029870,7400000
NULL,19500000
7081495.167,100000
845250.3333,7000
129410761,63000000
11085867.6,2200000
NULL,103000
60442962,960000
91093954.81,85000000
46300000,9400000
6559996,15500000
NULL,990000
NULL,13000
49932951.59,40000000
41048713,15600000
57750000,31115000
200807262,260000000
623279547,220000000
17373250,4800000
82127412.5,137000000
NULL,3950000
NULL,913000
71030437.2,8200000
NULL,5952000
380262555,113000000
2580,1650000
6686881.2,1100000
1041855.333,450000
NULL,1644736
87051983.79,58000000
27087695,17700000
348956830,250000000
766487,5250000
118685228.1,110000000
72077000,30250000
60750750.78,44000000
2633838.5,12800000
NULL,2160000
NULL,62000
195269060,190000000
14980150.27,3500000
76400000,2280000
NULL,168000
95120068.59,100000000
90864219.38,80000000
1007962,950000
3355005.5,2400000
6594136,38600000
218051260,207000000
70906973,14600000
239894075.5,210000000
260031035,123000000
95385864.4,72000000
NULL,22000
14373825,8600000
5000000,210000
95860116,16400000
1358875.667,225000
193884.5,40000
65986387.7,29000000
37737507,49000000
176387405,59000000
11504935.6,3300000
18766313.55,8500000
27000212.33,6900000
42898913.28,35000000
52293982,13800000
41128111.02,22000000
NULL,8300000
NULL,3660000
NULL,1696377
NULL,2650000
NULL,475000
104879339.1,95000000
102779050,75000000
NULL,17900000
220914,16800000
617228,84450000
252888484.7,200000000
1339152,81200000
2835886,9200000
30859000,83532
41963792.6,2600000
46338728,14500000
137748063,127500000
NULL,7700000
469947,120000
200074175,245000000
54222000,69500000
38119483,22700000
38699286.38,5500000
160201106,142000000
127587294,178000000
241816,42000
31118746.73,20000000
249262704,74000000
20209865,17500000
2708957,600000
NULL,245000
128458632.7,120000000
76418654,117000000
34332230,107000000
73115179.5,87000000
NULL,989000
76855508.2,46000000
48679063.33,41000000
75590286,23600000
140854112.3,130000000
48856,11900000
229311,11350000
NULL,17350
2305772.667,6800000
57386369,52500000
NULL,7623000
427131.5,10000
91201004,79000000
729770.6667,1300000
37181496.67,25000000
144156464,71500000
81525,15300000
15278,825000
NULL,1420000
4563029,39200000
318622,270000
198655278,3977000
192907762.7,125000000
101157447,14400000
NULL,1750000
25879013.2,2800000
1281176,312000
1487477,4200000
121318680.7,102000000
61269092.68,60000000
76346816,82000000
54403327.17,50000000
45716105.57,18000000
NULL,9300000
3131042,7300000
258625,560000
42776259,112000000
1185783,590000
8231,27000
2331076.75,250000
23883715.33,6000000
114867682.3,69000000
4190530,22500000
85222,1100
NULL,29500000
NULL,50000
15417771,12600000
4584,9000
163479795,34200000
32541719,3500159
11448067.86,13500000
37795123.5,19800000
4865505.5,4700000
44655105.5,64000000
NULL,1950000
119796.3333,1400000
74504935.67,84000000
5725,8400000
1229197,229575
29147505.47,36000000
31001552.72,27000000
60401578.21,45000000
132621284,209000000
1573712,125000
15031690.24,3000000
6551611,25000
1110286,4825000
NULL,550000
NULL,3716946
2808000,379000
NULL,240000
47635530.97,11000000
1127331,46000
NULL,3250
124984452.4,92000000
39229337.52,32000000
62028788.22,55000000
19557585.39,10000000
14597405,6400000
8738323.5,1200000
191808529.9,115000000
NULL,385907
592014,218
NULL,2540800
NULL,5100000
4992159,8550000
NULL,7840000
3108002.448,1500000
NULL,3209000
21656081.89,12500000
19596300.6,47000000
NULL,3150000
NULL,290000
186365354,215000000
304519495.8,185000000
139105109.5,76000000
1227508,23000
24754227.93,16000000
4000000,350000
7010097,3200000
336530303,258000000
11826665,2100000
38782158,27500000
NULL,3440000
163591,13400000
NULL,4490375
17372221.66,9000000
21557240,49900000
5669081,10818775
186617.25,3800000
106483409.8,61000000
2412885,750000
208765319.5,195000000
165518968.9,165000000
56729973,10800000
1310270,780000
115000000,777000
NULL,16900000
274586558.3,94000000
74205,14200000
128300000,19400870
64459316,149000000
20047715,25530000
11466088,71000000
36081102,60000
26719274.88,8000000
76600000,10700000
9169404,2500000
6013,695393
33276,1600000
37788228,35200000
71672440.41,37000000
16147545.56,300000
130174897,99000000
NULL,6700000
29377493.43,23000000
48279323.29,28000000
67891497.75,65000000
3847198,3400000
19083790,2300000
1160123,650000
8047690,19400000
NULL,2686585
NULL,1614000
243768,30000
6109075,19430000
204033882.6,175000000
32000000,806947
242589580,81000000
22447399,7200000
19718156.3,5000000
771035.75,150000
225377,8900000
44112985.1,30000000
136019448,44500000
5959586,65000
29809324,11500000
30166011.25,18500000
25000000,2883848
113733726,127000000
9759451.5,1700000
59181538.67,51000000
56569503.25,56000000
70816748,66000000
258113,1066167
333658,34000
NULL,325000
66646109.07,52000000
474126.5,4600000
100446895,109000000
239101077,32500000
56437947,9800000
NULL,2627000
136007,4500
611709,3850000
258608884.8,225000000
403706375,139000000
29004247.5,86000000
18945695.5,3600000
158812988,132000000
3047539,7217600
2919480.25,700000
2300000,439000
28284427.39,15000000
56125571.06,42000000
18706671.36,4500000
18947630,59660000
41229,25500000
6498000,18026148
9600000,910000
109306210,15800000
13751,11400000
NULL,114000
38996154,39000000
12667,14000
37295394,6600000
18581287.13,1800000
112000000,4400000
19100000,1250000
177140898.2,170000000
76136476.67,155000000
36829432.13,7500000
29393630.79,21000000
56002087.2,53000000
1523883,1750211
489220,365000
8000000,3768785
47375327,176000000
3895664,5300000
30084,70000
173891531.4,150000000
34791914.07,14000000
31961997.4,16500000
10696210,23500000
1277698.5,9600000
454255,400000000
4610643.5,2700000
NULL,1455000
32362150.46,34000000
671240,7900000
23328421,21500000
196873189.7,180000000
31662,12620000
178739,2450000
183821090.5,93000000
4267451.333,900000
161504355,73000000
2291596.667,160000
67155742,116000000
20186,930000
52543632,13200000
7137502,175000
102796192.8,10500000
137913405.6,140000000
59430514.67,88000000
31966168.25,57000000
NULL,68005000
22160085,10600000
55210049,27800000
NULL,1400
154753103.5,300000000
NULL,24000
25590119,21150000
2658817.25,1900000
66798578.44,33000000
617172,375000
14131298,390000000
66862068,83000000
79774754.69,68000000
43573309.85,26000000
57504500.17,43000000
350123553,58800000
NULL,6244087
56536016,4900000
40287553.38,19000000
25517500,25100000
66009973,14800000
151904960.4,145000000
106503820,98000000
14602887.06,4000000
35799026,126000000
NULL,1377800
5595428,2900000
36200000,12305523
1606542.6,800000
62280230.61,70000000
252652,19900000
24475416,890000
3000000,609000
638951,1592000
5181667.5,180000
73058679,263700000
126247,6200000
36062044,15000
NULL,3180000
1196752,30300000
10005525.49,2000000
62145781.88,38000000
124241225.2,135000000
171796356.8,78000000
80077060.56,48000000
62453315,50200000
11695810.25,400000
NULL,625000
174635000,8800000
2833383,427000
NULL,75000
NULL,27220000
82367802.67,62000000
13437015.63,7000000
5480996,8700000
NULL,2361000
NULL,2295429
150976502.1,160000000
1712111,8495000
835512.6667,850000
760505847,237000000
